trial_name,learning_rate,batch_size,stopping_condition,inference_type,epochs,class_rate,class_rate_top2,class_rate-top3,cm_diagonal,loss_plot,ROC_curve
balanced_lr2_b10_uc3_marginal_Stockholm_456-7,0.01,10,0.001,InferenceType.MARGINAL,20,0.9119601328903655,0.9850498338870431,0.9983388704318937,"[100.0, 99.565217391304344, 95.555555555555557, 76.811594202898547]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b10_uc3_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b10_uc3_marginal_Stockholm_456-7.png
balanced_lr2_b10_uc3_marginal_Stockholm_457-6,0.01,10,0.001,InferenceType.MARGINAL,10,0.8208695652173913,0.9617391304347827,0.9982608695652174,"[91.428571428571431, 97.942386831275712, 60.919540229885058, 66.857142857142861]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b10_uc3_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b10_uc3_marginal_Stockholm_457-6.png
balanced_lr2_b10_uc5_marginal_Stockholm_456-7,0.01,10,1e-05,InferenceType.MARGINAL,21,0.9235880398671097,0.9867109634551495,0.9983388704318937,"[100.0, 99.565217391304344, 98.888888888888886, 78.74396135265701]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b10_uc5_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b10_uc5_marginal_Stockholm_456-7.png
balanced_lr2_b10_uc5_marginal_Stockholm_457-6,0.01,10,1e-05,InferenceType.MARGINAL,24,0.8504347826086956,0.9686956521739131,0.9982608695652174,"[87.142857142857139, 98.353909465020578, 70.114942528735639, 73.142857142857139]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b10_uc5_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b10_uc5_marginal_Stockholm_457-6.png
balanced_lr2_b200_uc1_marginal_Stockholm_456-7,0.01,200,0.1,InferenceType.MPE,5,0.8853820598006644,0.9950166112956811,1.0,"[100.0, 98.260869565217391, 100.0, 68.59903381642512]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc1_marginal_Stockholm_456-7.png
balanced_lr2_b200_uc1_marginal_Stockholm_457-6,0.01,200,0.1,InferenceType.MPE,7,0.8660869565217392,0.9721739130434782,1.0,"[90.0, 97.942386831275712, 70.114942528735639, 77.714285714285708]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc1_marginal_Stockholm_457-6.png
balanced_lr2_b200_uc3_marginal_Stockholm_456-7,0.01,200,0.001,InferenceType.MARGINAL,10,0.8986710963455149,0.9950166112956811,1.0,"[94.666666666666671, 99.565217391304344, 100.0, 72.94685990338165]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc3_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc3_marginal_Stockholm_456-7.png
balanced_lr2_b200_uc3_marginal_Stockholm_457-6,0.01,200,0.001,InferenceType.MARGINAL,9,0.8626086956521739,0.9721739130434782,1.0,"[92.857142857142861, 97.942386831275712, 67.81609195402298, 76.571428571428569]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc3_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc3_marginal_Stockholm_457-6.png
balanced_lr2_b200_uc5_marginal_Stockholm_456-7,0.01,200,1e-05,InferenceType.MARGINAL,33,0.8903654485049833,0.9916943521594684,1.0,"[100.0, 98.695652173913047, 100.0, 69.565217391304344]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc5_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc5_marginal_Stockholm_456-7.png
balanced_lr2_b200_uc5_marginal_Stockholm_457-6,0.01,200,1e-05,InferenceType.MARGINAL,21,0.8765217391304347,0.9721739130434782,1.0,"[90.0, 98.353909465020578, 77.011494252873561, 77.142857142857153]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr2_b200_uc5_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr2_b200_uc5_marginal_Stockholm_457-6.png
balanced_lr3_b10_uc1_marginal_Stockholm_456-7,0.001,10,0.1,InferenceType.MARGINAL,5,0.9352159468438538,0.9900332225913622,0.9983388704318937,"[98.666666666666671, 100.0, 100.0, 81.642512077294683]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc1_marginal_Stockholm_456-7.png
